doi,title,is_oa,oa_status,pdf_url,query_label,search_letter,reason
10.1145/3597512.3597528,Responsible AI and the Arts: The Ethical and Legal Implications of AI in the Arts and Creative Industries,TRUE,green,https://nottingham-repository.worktribe.com/preview/23216397/Art%20AI%20Legal%20Ethical%20Creative%20Alan%20Chamberlain%20HCI%20CHI.pdf,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1080/13562517.2019.1711050,Unbundling and higher education curriculum: a Cultural-Historical Activity Theory view of process,TRUE,hybrid,https://www.tandfonline.com/doi/pdf/10.1080/13562517.2019.1711050?needAccess=true,Block 2E: Tacit knowledge,E,Previously failed — not retried
10.1111/radm.12567,Start‐ups' use of knowledge spillovers for product innovation: the influence of entrepreneurial ecosystems and virtual platforms,TRUE,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/radm.12567,Block 2E: Tacit knowledge,E,Previously failed — not retried
10.3390/app15126465,"Artificial Intelligence Adoption in SMEs: Survey Based on TOE–DOI Framework, Primary Methodology and Challenges",TRUE,gold,https://www.mdpi.com/2076-3417/15/12/6465/pdf?version=1749433706,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/electronics13020320,Augmenting Large Language Models with Rules for Enhanced Domain-Specific Interactions: The Case of Medical Diagnosis,TRUE,gold,https://www.mdpi.com/2079-9292/13/2/320/pdf?version=1704964811,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.28945/5304,Generative AI Solutions for Faculty and Students: A Review of Literature and Roadmap for Future Research,TRUE,gold,https://www.jite.org/documents/Vol23/JITE-Rv23Art014Marchena10396.pdf,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/su12103966,Ambidextrous Knowledge and Learning Capability: The Magic Potion for Employee Creativity and Sustainable Innovation Performance,TRUE,gold,https://www.mdpi.com/2071-1050/12/10/3966/pdf,Block 2E: Tacit knowledge,E,Previously failed — not retried
10.1108/jd-11-2020-0188,Documenting information making in archaeological field reports,TRUE,hybrid,https://www.emerald.com/insight/content/doi/10.1108/JD-11-2020-0188/full/pdf?title=documenting-information-making-in-archaeological-field-reports,Block 2E: Tacit knowledge,E,Previously failed — not retried
10.3390/info16020082,Determinants of ChatGPT Adoption Intention in Higher Education: Expanding on TAM with the Mediating Roles of Trust and Risk,TRUE,gold,https://www.mdpi.com/2078-2489/16/2/82/pdf?version=1737605809,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/joitmc6040194,Knowledge-Sharing Strategies in Distributed Collaborative Product Development,TRUE,gold,https://www.mdpi.com/2199-8531/6/4/194/pdf?version=1608106051,Block 2E: Tacit knowledge,E,Previously failed — not retried
10.1002/jrsm.1689,Methods for using Bing's AI‐powered search engine for data extraction for a systematic review,TRUE,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jrsm.1689,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1080/07294360.2021.1937066,Where does all the ‘<i>know how</i>’ go? The role of tacit knowledge in research impact,TRUE,hybrid,https://www.tandfonline.com/doi/pdf/10.1080/07294360.2021.1937066?needAccess=true,Block 2E: Tacit knowledge,E,Previously failed — not retried
10.1111/csp2.378,Opening learning spaces to create actionable knowledge for conservation,TRUE,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/csp2.378,Block 2E: Tacit knowledge,E,Previously failed — not retried
10.55593/ej.28109a8,ChatGPT in English Language Learning: Exploring Perceptions and Promoting Autonomy in a University EFL Context,TRUE,gold,https://doi.org/10.55593/ej.28109a8,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/fi17020057,AI Agents Meet Blockchain: A Survey on Secure and Scalable Collaboration for Multi-Agents,TRUE,gold,https://www.mdpi.com/1999-5903/17/2/57/pdf,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/info16020087,Transitioning from MLOps to LLMOps: Navigating the Unique Challenges of Large Language Models,TRUE,gold,https://www.mdpi.com/2078-2489/16/2/87/pdf?version=1737650331,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1073/pnas.2322823121,Fact-checking information from large language models can decrease headline discernment,TRUE,hybrid,https://doi.org/10.1073/pnas.2322823121,Venue: PNAS,Venue,Previously failed — not retried
10.1111/jcal.13065,"Levering
                    <scp>AI</scp>
                    to enhance students' conceptual understanding and confidence in mathematics",TRUE,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jcal.13065,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/electronics13081572,A Social Perspective on AI in the Higher Education System: A Semisystematic Literature Review,TRUE,gold,https://www.mdpi.com/2079-9292/13/8/1572/pdf?version=1713583482,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.20944/preprints202307.2142.v2,Llama 2: Early Adopters' Utilization of Meta's New Open-Source Pretrained Model,TRUE,green,https://www.preprints.org/manuscript/202307.2142/v2/download,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3233/faia231182,A Conceptual Framework for Solving Ethical Issues in Generative Artificial Intelligence,TRUE,hybrid,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA231182,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/info16050399,Intelligent Supply Chain Management: A Systematic Literature Review on Artificial Intelligence Contributions,TRUE,gold,https://www.mdpi.com/2078-2489/16/5/399/pdf?version=1747128204,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1136/rmdopen-2024-004309,Artificial intelligence in rheumatology research: what is it good for?,TRUE,gold,https://rmdopen.bmj.com/content/rmdopen/11/1/e004309.full.pdf,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1108/jebde-08-2023-0015,Unraveling the landscape of large language models: a systematic review and future perspectives,TRUE,hybrid,https://www.emerald.com/insight/content/doi/10.1108/JEBDE-08-2023-0015/full/pdf?title=unraveling-the-landscape-of-large-language-models-a-systematic-review-and-future-perspectives,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1073/pnas.2312911120,Using cognitive psychology to understand GPT-like models needs to extend beyond human biases,TRUE,green,https://www.pnas.org/doi/pdf/10.1073/pnas.2312911120,Venue: PNAS,Venue,Previously failed — not retried
10.1093/pnasnexus/pgaf089,Measuring gender and racial biases in large language models: Intersectional evidence from automated resume evaluation,TRUE,gold,https://academic.oup.com/pnasnexus/advance-article-pdf/doi/10.1093/pnasnexus/pgaf089/62387232/pgaf089.pdf,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.5325/jinfopoli.14.2024.0012,Balancing Innovation and Regulation in the Age of Generative Artificial Intelligence,TRUE,gold,https://scholarlypublishingcollective.org/psup/information-policy/article-pdf/doi/10.5325/jinfopoli.14.2024.0012/2126954/jinfopoli.14.2024.0012.pdf,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1073/pnas.2401336121,AI emerges as the frontier in behavioral science,TRUE,hybrid,https://www.pnas.org/doi/pdf/10.1073/pnas.2401336121,Venue: PNAS,Venue,Previously failed — not retried
10.1073/pnas.2403580121,Machine learning meets physics: A two-way street,TRUE,hybrid,https://www.pnas.org/doi/pdf/10.1073/pnas.2403580121,Venue: PNAS,Venue,Previously failed — not retried
10.1073/pnas.2414955121,Could ChatGPT get an engineering degree? Evaluating higher education vulnerability to AI assistants,TRUE,hybrid,https://www.pnas.org/doi/pdf/10.1073/pnas.2414955121,Venue: PNAS,Venue,Previously failed — not retried
10.64818/pijbas.3107.8478.0014,"Singularities in Science, Technology and Society: Typologies, Comparative Analyses, and Interpretive Frameworks",TRUE,bronze,https://poornaprajnapublication.com/index.php/pijbas/article/download/135/111/453,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1016/j.daach.2023.e00309,Saving temporary exhibitions in virtual environments: The Digital Renaissance of Ulisse Aldrovandi – Acquisition and digitisation of cultural heritage objects,TRUE,hybrid,https://www.sciencedirect.com/science/article/pii/S2212054823000541,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.3390/medicina61061003,Neuroimaging Insights into the Public Health Burden of Neuropsychiatric Disorders: A Systematic Review of Electroencephalography-Based Cognitive Biomarkers,TRUE,gold,https://www.mdpi.com/1648-9144/61/6/1003/pdf?version=1748424009,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1111/bph.16100,Guidance to best tools and practices for systematic reviews,TRUE,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bph.16100,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1016/j.heliyon.2023.e23087,Factors affecting turnover intention of Nigerian employees: The moderation effect of organizational commitment,TRUE,gold,http://www.cell.com/article/S2405844023102957/pdf,Block 1B: AI in research methodology,B,Previously failed — not retried
10.1111/isj.12509,Understanding the careers of freelancers on digital labor platforms: The case of IT work,TRUE,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/isj.12509,Block 1A: AI in research practice (broad fields),A,Previously failed — not retried
10.1177/20552076241272604,Psychological and physiological health outcomes of virtual reality-based mindfulness interventions: A systematic review and evidence mapping of empirical studies,TRUE,gold,https://doi.org/10.1177/20552076241272604,Block 2G: Structured prompts and epistemic quality,G,Previously failed — not retried
10.2139/ssrn.4929528,"People, Practices, and Productivity: A Review of New Advances in Personnel Economics",TRUE,green,http://dx.doi.org/10.2139/ssrn.4929528,Block 1A: AI in research practice (broad fields),A,Previously failed — not retried
10.3390/computers14060230,"Exploring the Factors Influencing AI Adoption Intentions in Higher Education: An Integrated Model of DOI, TOE, and TAM",TRUE,gold,https://www.mdpi.com/2073-431X/14/6/230/pdf?version=1749649437,Block 1B: AI in research methodology,B,Previously failed — not retried
